jahr,stichtag,gemeinde_bfs_nr,gemeinde,altersklasse,heimat,geschlecht,anzahl,anzahl_ist_kleingruppe
2022,2022-12-31,230,Winterthur,35-39,Ausland,männlich,1815,False
2022,2022-12-31,230,Winterthur,35-39,Ausland,weiblich,1784,False
2022,2022-12-31,230,Winterthur,35-39,Schweiz,männlich,3311,False
2022,2022-12-31,230,Winterthur,35-39,Schweiz,weiblich,3107,False
2022,2022-12-31,230,Winterthur,40-44,Ausland,männlich,1683,False
2022,2022-12-31,230,Winterthur,40-44,Ausland,weiblich,1555,False
2022,2022-12-31,230,Winterthur,40-44,Schweiz,männlich,2867,False
2022,2022-12-31,230,Winterthur,40-44,Schweiz,weiblich,2839,False
2022,2022-12-31,230,Winterthur,45-49,Ausland,männlich,1372,False
2022,2022-12-31,230,Winterthur,45-49,Ausland,weiblich,1204,False
2022,2022-12-31,230,Winterthur,45-49,Schweiz,männlich,2479,False
2022,2022-12-31,230,Winterthur,45-49,Schweiz,weiblich,2589,False
2022,2022-12-31,230,Winterthur,50-54,Ausland,männlich,1108,False
2022,2022-12-31,230,Winterthur,50-54,Ausland,weiblich,984,False
2022,2022-12-31,230,Winterthur,50-54,Schweiz,männlich,2686,False
2022,2022-12-31,230,Winterthur,50-54,Schweiz,weiblich,2749,False
2022,2022-12-31,230,Winterthur,55-59,Ausland,männlich,953,False
2022,2022-12-31,230,Winterthur,55-59,Ausland,weiblich,876,False
2022,2022-12-31,230,Winterthur,55-59,Schweiz,männlich,2928,False
2022,2022-12-31,230,Winterthur,55-59,Schweiz,weiblich,3078,False
2022,2022-12-31,230,Winterthur,60-64,Ausland,männlich,741,False
2022,2022-12-31,230,Winterthur,60-64,Ausland,weiblich,608,False
2022,2022-12-31,230,Winterthur,60-64,Schweiz,männlich,2441,False
2022,2022-12-31,230,Winterthur,60-64,Schweiz,weiblich,2702,False
2022,2022-12-31,230,Winterthur,65-69,Ausland,männlich,421,False
2022,2022-12-31,230,Winterthur,65-69,Ausland,weiblich,396,False
2022,2022-12-31,230,Winterthur,65-69,Schweiz,männlich,1969,False
2022,2022-12-31,230,Winterthur,65-69,Schweiz,weiblich,2249,False
2022,2022-12-31,230,Winterthur,70-74,Ausland,männlich,302,False
2022,2022-12-31,230,Winterthur,70-74,Ausland,weiblich,314,False
2022,2022-12-31,230,Winterthur,70-74,Schweiz,männlich,1618,False
2022,2022-12-31,230,Winterthur,70-74,Schweiz,weiblich,2110,False
2022,2022-12-31,230,Winterthur,75-79,Ausland,männlich,245,False
2022,2022-12-31,230,Winterthur,75-79,Ausland,weiblich,253,False
2022,2022-12-31,230,Winterthur,75-79,Schweiz,männlich,1491,False
2022,2022-12-31,230,Winterthur,75-79,Schweiz,weiblich,1993,False
2022,2022-12-31,230,Winterthur,80-84,Ausland,männlich,216,False
2022,2022-12-31,230,Winterthur,80-84,Ausland,weiblich,228,False
2022,2022-12-31,230,Winterthur,80-84,Schweiz,männlich,1000,False
2022,2022-12-31,230,Winterthur,80-84,Schweiz,weiblich,1526,False
2022,2022-12-31,230,Winterthur,85-89,Ausland,männlich,113,False
2022,2022-12-31,230,Winterthur,85-89,Ausland,weiblich,108,False
2022,2022-12-31,230,Winterthur,85-89,Schweiz,männlich,612,False
2022,2022-12-31,230,Winterthur,85-89,Schweiz,weiblich,1044,False
2022,2022-12-31,230,Winterthur,90-94,Ausland,männlich,37,False
2022,2022-12-31,230,Winterthur,90-94,Ausland,weiblich,42,False
2022,2022-12-31,230,Winterthur,90-94,Schweiz,männlich,278,False
2022,2022-12-31,230,Winterthur,90-94,Schweiz,weiblich,549,False
2022,2022-12-31,230,Winterthur,95+,Ausland,männlich,7,False
2022,2022-12-31,230,Winterthur,95+,Ausland,weiblich,13,False
2022,2022-12-31,230,Winterthur,95+,Schweiz,männlich,48,False
2022,2022-12-31,230,Winterthur,95+,Schweiz,weiblich,189,False
2021,2021-12-31,230,Winterthur,00-04,Ausland,männlich,812,False
2021,2021-12-31,230,Winterthur,00-04,Ausland,weiblich,775,False
2021,2021-12-31,230,Winterthur,00-04,Schweiz,männlich,2434,False
2021,2021-12-31,230,Winterthur,00-04,Schweiz,weiblich,2237,False
2021,2021-12-31,230,Winterthur,05-09,Ausland,männlich,819,False
2021,2021-12-31,230,Winterthur,05-09,Ausland,weiblich,818,False
2021,2021-12-31,230,Winterthur,05-09,Schweiz,männlich,2206,False
2021,2021-12-31,230,Winterthur,05-09,Schweiz,weiblich,2126,False
2021,2021-12-31,230,Winterthur,10-14,Ausland,männlich,736,False
2021,2021-12-31,230,Winterthur,10-14,Ausland,weiblich,665,False
2021,2021-12-31,230,Winterthur,10-14,Schweiz,männlich,2215,False
2021,2021-12-31,230,Winterthur,10-14,Schweiz,weiblich,2074,False
2021,2021-12-31,230,Winterthur,15-19,Ausland,männlich,609,False
2021,2021-12-31,230,Winterthur,15-19,Ausland,weiblich,476,False
2021,2021-12-31,230,Winterthur,15-19,Schweiz,männlich,2208,False
2021,2021-12-31,230,Winterthur,15-19,Schweiz,weiblich,2134,False
2021,2021-12-31,230,Winterthur,20-24,Ausland,männlich,857,False
2021,2021-12-31,230,Winterthur,20-24,Ausland,weiblich,696,False
2021,2021-12-31,230,Winterthur,20-24,Schweiz,männlich,2742,False
2021,2021-12-31,230,Winterthur,20-24,Schweiz,weiblich,3030,False
2021,2021-12-31,230,Winterthur,25-29,Ausland,männlich,1255,False
2021,2021-12-31,230,Winterthur,25-29,Ausland,weiblich,1223,False
2021,2021-12-31,230,Winterthur,25-29,Schweiz,männlich,3653,False
2021,2021-12-31,230,Winterthur,25-29,Schweiz,weiblich,3830,False
2021,2021-12-31,230,Winterthur,30-34,Ausland,männlich,1677,False
2021,2021-12-31,230,Winterthur,30-34,Ausland,weiblich,1605,False
2021,2021-12-31,230,Winterthur,30-34,Schweiz,männlich,3790,False
2021,2021-12-31,230,Winterthur,30-34,Schweiz,weiblich,3563,False
2021,2021-12-31,230,Winterthur,35-39,Ausland,männlich,1740,False
2021,2021-12-31,230,Winterthur,35-39,Ausland,weiblich,1628,False
